first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards
David,Ospina,0,0,143,4,0.0,28.8,0,2.9,0,0,0
Petr,Cech,0,0,3097,37,0.1,819.8,0,82.0,12,0,2
Laurent,Koscielny,2,1,2821,37,53.9,831.2,239,112.7,10,1,4
Per,Mertesacker,0,0,38,1,0.1,17.8,0,1.8,0,0,0
Gabriel Armando,de Abreu,0,0,1517,18,84.5,295.8,119,50.0,5,0,6
H�ctor,Beller�n,1,5,2503,34,508.3,437.6,395,133.8,10,0,4
Kieran,Gibbs,0,1,702,3,171.4,142.4,117,43.1,6,0,3
Mathieu,Debuchy,0,0,15,0,1.4,1.0,0,0.2,0,0,0
Carl,Jenkinson,0,0,82,1,2.0,19.4,0,2.1,0,0,0
Nacho,Monreal,0,3,3153,43,280.3,554.0,220,105.8,11,0,5
Calum,Chambers,2,1,2250,37,107.0,692.2,80,88.0,7,0,4
Alexis,S�nchez,24,11,3217,41,1278.3,1357.8,1896,453.4,13,0,6
Theo,Walcott,10,3,1916,26,280.5,541.8,1023,184.1,8,0,1
Mesut,�zil,8,11,2841,30,1649.3,834.4,734,322.0,12,0,2
Santiago,Cazorla,2,2,618,5,221.7,198.2,89,50.8,4,0,2
Aaron,Ramsey,1,4,1236,20,361.2,257.2,496,111.3,4,0,3
Jack,Wilshere,0,3,1950,45,544.4,308.4,321,116.8,5,0,4
Alex,Oxlade-Chamberlain,2,7,1564,22,519.9,435.4,416,137.5,4,0,1
Serge,Gnabry,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Francis,Coquelin,0,1,1779,27,314.1,291.6,117,72.4,5,0,5
Alex,Iwobi,3,5,1456,20,467.8,326.4,592,138.7,9,0,1
Mohamed,Elneny,0,1,694,9,108.6,89.0,116,31.1,3,0,1
Joel,Campbell,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Granit,Xhaka,2,3,2483,32,626.2,488.8,193,130.8,10,2,5
Olivier,Giroud,12,5,1206,16,275.1,522.6,797,158.9,4,0,2
Danny,Welbeck,2,2,748,11,89.9,144.8,321,55.5,3,0,0
Yaya,Sanogo,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Takuma,Asano,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Artur,Boruc,0,0,3150,63,10.0,815.4,0,82.4,9,0,2
Adam,Federici,0,0,180,3,0.0,34.4,0,3.5,1,0,1
Simon,Francis,0,1,2938,54,291.2,748.2,130,117.3,10,1,4
Steve,Cook,2,0,3420,67,66.2,1123.0,391,158.2,10,0,5
Charlie,Daniels,4,3,3060,53,528.3,698.2,302,152.9,10,0,1
Adam,Smith,1,5,3101,61,509.8,566.6,242,132.1,8,0,6
Tyrone,Mings,0,0,506,16,18.3,125.4,45,18.9,0,0,0
Nathan,Ak�,3,1,834,20,55.5,373.2,147,57.5,3,0,1
Harry,Arter,1,4,2956,62,533.0,482.0,343,135.4,9,1,11
Marc,Pugh,2,3,1329,24,304.6,238.6,290,83.3,5,0,1
Andrew,Surman,0,1,1800,38,223.8,256.8,90,57.0,4,1,1
Eunan,O'Kane,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Shaun,MacDonald,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Junior,Stanislas,7,6,1467,29,406.9,454.6,418,128.0,4,0,1
Dan,Gosling,2,0,1366,24,181.7,254.0,168,60.5,4,0,6
Max,Gradel,0,0,134,1,18.2,24.6,70,10.8,0,0,3
Emerson,Hyndman,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Jordon,Ibe,0,0,1055,22,268.3,113.0,235,61.5,3,0,0
Lewis,Cook,0,2,432,7,89.8,100.8,28,21.8,1,0,1
Joshua,King,16,3,2714,54,474.6,835.2,1007,231.6,9,0,1
Callum,Wilson,6,1,1361,25,125.7,229.0,487,82.2,6,0,0
Tokelo,Rantie,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Lewis,Grabban,0,1,60,2,11.8,24.2,17,5.3,0,0,0
Benik,Afobe,6,5,1458,24,320.7,350.0,639,130.8,5,0,1
Lys,Mousset,0,1,270,4,39.6,27.8,109,16.1,1,0,0
Tom,Heaton,0,0,3150,48,30.3,1001.6,0,103.2,10,0,1
Matthew,Lowton,0,2,3240,53,491.5,770.6,80,134.2,9,0,9
Ben,Mee,1,2,3015,49,93.7,890.0,281,126.7,9,0,5
Stephen,Ward,1,1,3230,53,409.9,644.6,128,118.3,8,0,5
Michael,Keane,2,1,3150,49,96.7,930.8,557,158.6,10,0,4
James,Tarkowski,0,0,568,11,53.4,146.2,81,27.5,1,0,1
