first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Petr,Cech,0,0,585,9,0.0,205.0,0.0,20.4,1,0,0,47
Bernd,Leno,0,0,2835,42,0.0,807.2,0.0,80.5,6,0,0,49
Laurent,Koscielny,3,0,1329,23,29.5,456.4,105.0,59.1,3,0,1,54
Héctor,Bellerín,0,5,1532,21,197.8,261.6,280.0,73.7,4,0,3,53
Nacho,Monreal,1,4,1860,24,196.6,413.2,224.0,83.4,5,0,5,54
Rob,Holding,0,0,806,10,28.7,187.8,14.0,23.2,1,0,1,43
Shkodran,Mustafi,2,0,2611,40,106.0,718.6,252.0,107.8,6,0,9,54
Sead,Kolasinac,0,7,1886,29,445.9,323.2,242.0,101.0,5,0,5,49
Konstantinos,Mavropanos,0,0,147,1,14.1,27.0,10.0,5.2,0,0,1,47
Stephan,Lichtsteiner,0,0,935,18,61.1,113.0,23.0,20.0,0,0,3,45
Sokratis,Papastathopoulos,1,2,2198,33,67.9,513.8,120.0,70.4,5,0,12,51
Mesut,Özil,5,3,1732,24,714.2,429.6,254.0,140.0,5,0,2,79
Aaron,Ramsey,4,6,1319,13,387.2,418.4,502.0,131.0,9,0,0,71
Alex,Iwobi,3,8,1961,32,596.7,469.0,646.0,171.1,4,0,0,54
Mohamed,Elneny,0,0,377,5,76.7,86.6,63.0,22.7,0,0,0,42
Granit,Xhaka,4,3,2498,37,674.0,634.6,215.0,152.6,7,0,10,52
Henrikh,Mkhitaryan,6,4,1637,26,454.9,446.4,600.0,150.2,3,0,1,66
Reiss,Nelson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Ainsley,Maitland-Niles,1,1,983,20,98.9,224.2,126.0,44.8,2,1,1,44
Danny,Welbeck,1,1,146,3,56.8,73.6,66.0,19.5,0,0,0,64
Alexandre,Lacazette,13,12,2497,31,482.4,808.0,1319.0,260.6,6,0,2,94
Pierre-Emerick,Aubameyang,22,7,2722,42,484.6,984.4,1429.0,289.6,7,0,0,108
Lucas,Torreira,2,4,2377,38,301.0,440.8,203.0,94.5,5,1,7,47
Matteo,Guendouzi,0,0,2140,32,312.4,323.2,130.0,76.6,3,0,9,44
Emiliano,Martínez,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Emile,Smith-Rowe,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Zech,Medley,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Edward,Nketiah,1,0,63,3,14.7,40.8,59.0,11.4,0,0,0,50
Bukayo,Saka,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0,45
Joseph,Willock,0,0,63,1,2.5,1.0,23.0,2.7,1,0,0,45
Carl,Jenkinson,0,0,165,3,16.9,26.8,8.0,5.2,0,0,0,45
Denis,Suárez,0,0,67,1,4.8,8.4,0.0,1.4,0,0,0,57
Asmir,Begovic,0,0,2160,47,0.0,440.6,0.0,44.2,5,0,0,43
Artur,Boruc,0,0,1080,18,0.0,302.0,0.0,30.3,4,0,2,41
Simon,Francis,0,2,1227,24,173.3,332.4,39.0,54.4,4,0,1,43
Steve,Cook,1,1,2786,56,143.3,731.0,292.0,116.5,9,0,3,43
Charlie,Daniels,1,0,1583,34,215.4,289.8,156.0,66.2,4,0,4,41
Adam,Smith,1,1,2067,33,199.8,374.0,110.0,68.5,8,1,5,43
Tyrone,Mings,0,0,141,4,16.3,49.0,2.0,6.8,0,0,0,42
Nathan,Aké,4,1,3411,70,125.9,1002.0,440.0,156.8,10,0,3,51
Jack,Simpson,0,0,401,9,2.0,85.4,21.0,11.0,1,0,0,39
Marc,Pugh,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
Andrew,Surman,0,0,1438,37,163.0,190.8,38.0,39.2,4,0,2,46
Junior,Stanislas,2,3,1021,24,254.5,225.2,340.0,82.0,2,0,1,60
Dan,Gosling,2,2,1734,33,164.7,400.6,217.0,78.1,4,0,8,47
Jordon,Ibe,1,1,789,23,174.8,131.2,155.0,46.0,1,0,1,49
Lewis,Cook,0,0,719,10,50.4,76.0,36.0,16.5,3,0,2,46
Ryan,Fraser,7,14,3165,64,1382.4,930.6,696.0,301.2,9,0,2,64
Emerson,Hyndman,0,0,37,2,1.2,14.0,0.0,1.5,0,0,0,44
David,Brooks,7,6,2263,41,466.7,598.0,609.0,167.5,9,0,3,50
Callum,Wilson,14,12,2528,47,388.4,737.8,1137.0,225.0,9,0,3,69
Lys,Mousset,1,0,350,15,65.1,74.6,201.0,33.8,0,0,1,49
Joshua,King,12,3,2963,57,535.7,655.4,1058.0,223.8,10,0,3,64
Jermain,Defoe,0,0,22,2,0.0,3.0,23.0,2.6,0,0,0,56
Nathaniel,Clyne,0,1,1250,26,100.2,199.4,72.0,36.9,3,0,2,44
Dominic,Solanke,0,1,340,5,96.0,79.0,154.0,33.0,0,0,0,47
Diego,Rico,0,0,606,19,171.6,107.4,36.0,31.4,0,0,1,41
Jefferson,Lerma,2,2,2505,49,245.8,539.6,174.0,96.2,9,0,12,45
Chris,Mepham,0,1,848,17,24.1,177.2,22.0,22.5,2,0,1,45
Sam,Surridge,0,0,11,0,11.8,5.0,23.0,4.0,0,0,0,45
Kyle,Taylor,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Nnamdi,Ofoborh,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Mark,Travers,0,0,180,5,0.0,68.2,0.0,6.8,1,0,0,40
Matt,Butcher,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Mathew,Ryan,0,0,3060,55,0.0,707.0,0.0,70.9,6,0,2,44
Lewis,Dunk,2,1,3151,56,132.9,805.8,245.0,118.7,7,1,5,44
Shane,Duffy,5,2,3087,55,84.1,1024.4,499.0,160.9,7,1,4,47
Bruno,Saltor Grau,0,1,1131,17,102.0,181.6,14.0,29.8,4,0,2,44
Gaëtan,Bong,0,0,1805,34,153.3,220.0,8.0,38.0,5,0,0,44
Markus,Suttner,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,38
Ezequiel,Schelotto,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,38
Leon,Balogun,1,0,591,10,1.1,134.0,27.0,16.2,0,0,2,42
Anthony,Knockaert,2,6,1828,41,580.8,389.6,345.0,131.4,3,1,4,52
Dale,Stephens,1,1,2484,46,249.3,498.2,88.0,83.6,5,1,6,43
Beram,Kayal,1,1,935,17,59.3,224.0,53.0,33.6,4,0,4,44
Solomon,March,1,6,2459,40,684.5,474.6,405.0,156.6,6,0,1,47
Pascal,Groß,3,3,1864,31,815.3,456.0,344.0,161.7,3,0,1,67
Davy,Pröpper,1,1,2546,45,279.1,389.2,121.0,79.2,4,0,2,48
José Heriberto,Izquierdo Mena,0,2,789,10,77.3,75.4,147.0,30.0,3,0,1,59
Glenn,Murray,13,1,2501,45,190.0,478.0,835.0,148.1,4,0,5,61
Tomer,Hemed,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,49
Sam,Baldock,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Jürgen,Locadia,2,0,1225,21,190.8,154.4,356.0,69.7,3,0,1,53
Florin,Andone,3,0,866,14,48.6,147.2,361.0,54.9,2,0,5,50
David,Button,0,0,360,5,0.0,89.2,0.0,8.9,1,0,0,40
Jason,Steele,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
Bernardo,Fernandes da Silva Junior,0,1,1749,29,172.6,444.2,83.0,70.0,2,0,4,42
Yves,Bissouma,0,0,1764,32,213.0,253.4,201.0,66.8,3,0,5,46
Alireza,Jahanbakhsh,0,0,1014,16,104.0,94.4,162.0,35.5,5,0,2,67
Martín,Montoya,0,1,2166,41,289.2,437.6,58.0,78.6,3,0,4,43
Viktor,Gyokeres,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Ben,White,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Max,Sanders,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Dan,Burn,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Jayson,Molumby,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Tom,Heaton,0,0,1710,27,20.1,442.8,4.0,46.6,4,0,3,48
Nick,Pope,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,48
Matthew,Lowton,0,0,1748,41,158.6,338.0,48.0,54.6,4,0,7,46
Ben,Mee,0,2,3420,68,113.8,885.4,238.0,123.9,8,0,9,46
Stephen,Ward,0,0,228,6,17.2,48.4,19.0,8.5,1,0,1,47
James,Tarkowski,3,2,3086,63,69.8,1023.2,450.0,154.5,7,0,8,47
Kevin,Long,0,1,513,9,11.6,147.8,8.0,16.8,1,0,0,41
Charlie,Taylor,0,1,3240,64,268.5,649.4,30.0,94.9,7,0,2,44
Phil,Bardsley,0,0,1670,27,139.6,267.8,66.0,47.4,4,0,9,42
Johann Berg,Gudmundsson,3,7,1743,39,574.1,456.2,380.0,141.1,5,0,2,55
Steven,Defour,0,0,449,14,36.6,61.4,0.0,9.9,0,0,0,53
Jeff,Hendrick,2,2,2058,44,205.3,233.8,269.0,70.6,4,0,4,52
Robbie,Brady,0,1,714,17,194.1,102.0,85.0,38.2,1,1,3,54
Ashley,Westwood,2,8,2821,55,643.1,623.0,253.0,152.3,7,0,5,46
Jonathan,Walters,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,47
Jack,Cork,1,2,3312,63,309.7,491.4,240.0,104.3,8,0,6,46
Aaron,Lennon,1,1,1214,22,121.2,151.6,108.0,38.0,3,0,1,49
Sam,Vokes,3,0,907,20,108.6,152.0,292.0,54.3,2,0,0,53
Ashley,Barnes,12,3,2378,41,309.9,581.2,1042.0,192.9,7,0,8,56
Nahki,Wells,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Chris,Wood,10,3,2580,49,310.3,475.8,911.0,167.9,7,0,2,63
