first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Shkodran,Mustafi,0,2,1205,17,45.5,277.2,155.0,47.9,4,0,2,51
Héctor,Bellerín,1,0,1156,18,76.9,187.8,103.0,37.0,4,0,2,52
Sead,Kolasinac,0,2,1694,26,182.5,269.6,81.0,53.0,4,0,4,52
Ainsley,Maitland-Niles,0,2,1382,22,182.0,301.8,58.0,53.6,3,1,4,45
Sokratis,Papastathopoulos,2,0,1696,25,36.8,436.2,110.0,58.5,4,0,6,48
Nacho,Monreal,0,0,270,4,40.8,47.2,12.0,10.0,1,0,0,50
Laurent,Koscielny,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50
Konstantinos,Mavropanos,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
Carl,Jenkinson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Rob,Holding,0,0,580,9,4.8,133.6,19.0,15.8,1,0,1,44
Pierre-Emerick,Aubameyang,22,5,3136,44,479.6,1006.0,1369.0,285.2,10,1,3,109
Alexandre,Lacazette,10,7,1867,25,337.7,536.4,861.0,173.8,5,0,8,92
Edward,Nketiah,2,0,628,9,67.0,90.4,210.0,36.4,3,1,0,43
Bernd,Leno,0,0,2649,39,0.0,843.2,0.0,84.1,7,0,2,48
Mesut,Özil,1,3,1439,20,582.9,223.6,190.0,99.8,5,0,1,69
Henrikh,Mkhitaryan,0,0,110,0,33.9,5.4,46.0,8.6,1,0,1,67
Granit,Xhaka,1,2,2586,31,298.5,486.2,110.0,89.9,10,0,10,51
Lucas,Torreira,1,1,1501,23,207.1,281.8,207.0,69.7,3,0,7,47
Mohamed,Elneny,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Matteo,Guendouzi,0,2,1744,31,235.1,333.6,146.0,71.6,3,0,6,41
David,Luiz Moreira Marinho,2,1,2809,42,106.7,701.6,211.0,102.1,8,2,5,57
Emiliano,Martínez,0,0,770,9,0.0,256.8,0.0,25.8,3,0,2,44
Calum,Chambers,1,1,1102,15,113.5,272.0,203.0,58.7,3,0,5,43
Daniel,Ceballos Fernández,0,2,1687,21,439.9,346.4,130.0,91.7,7,0,1,52
Cédric,Soares,1,1,1553,20,218.9,349.0,118.0,68.7,4,0,1,48
Nicolas,Pépé,5,6,2004,30,639.4,500.2,624.0,176.5,5,0,4,89
Reiss,Nelson,1,1,622,7,148.3,110.4,185.0,44.4,2,0,1,53
Joseph,Willock,1,1,838,16,165.9,176.8,212.0,55.2,1,0,2,47
Gabriel Teodoro,Martinelli Silva,3,1,656,9,36.6,162.8,226.0,42.5,2,0,1,42
Kieran,Tierney,1,2,986,16,121.1,201.8,73.0,39.8,2,0,2,53
Bukayo,Saka,1,6,1746,18,322.5,327.2,248.0,89.8,7,0,6,47
Emile,Smith Rowe,0,0,96,0,6.3,9.8,0.0,1.6,1,0,0,43
Tyreece,John-Jules,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Pablo,Marí,0,0,113,0,1.7,27.8,0.0,3.0,1,0,0,44
Zech,Medley,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Matt,Macey,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Matthew,Smith,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
