first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,element_type
Bernd,Leno,0,0,360,9,0.0,85.0,0.0,8.5,1,0,0,45,GK
Rúnar Alex,Rúnarsson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Willian,Borges Da Silva,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,63,MID
Pierre-Emerick,Aubameyang,4,1,1036,16,132.4,217.6,582.0,92.9,6,0,3,96,FWD
Cédric,Soares,1,1,1481,27,306.5,246.0,76.0,63.0,3,0,3,42,DEF
Alexandre,Lacazette,4,8,1773,17,385.7,376.6,724.0,148.3,10,0,0,81,FWD
Granit,Xhaka,1,2,2327,38,489.6,382.2,253.0,112.6,6,1,10,48,MID
Pablo,Marí,0,0,180,4,12.3,55.4,11.0,7.9,0,0,1,42,DEF
Héctor,Bellerín,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,48,DEF
Sead,Kolasinac,0,0,91,5,0.2,4.2,0.0,0.4,0,0,1,42,DEF
Mohamed Naser,El Sayed Elneny,0,2,801,17,124.5,147.8,40.0,31.3,0,0,1,44,MID
Ainsley,Maitland-Niles,0,0,263,4,41.3,42.6,9.0,9.3,2,0,0,52,MID
Rob,Holding,1,0,840,16,6.9,242.4,49.0,29.9,2,1,2,41,DEF
Thomas,Partey,2,2,2027,25,275.5,359.6,394.0,103.0,10,0,6,50,MID
Kieran,Tierney,1,3,1916,21,335.9,365.2,198.0,90.1,11,0,0,49,DEF
Nicolas,Pépé,1,4,681,9,204.8,127.4,391.0,72.0,2,0,0,69,MID
Lucas,Torreira,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Edward,Nketiah,5,1,823,18,138.8,216.0,339.0,69.2,0,0,3,57,FWD
Emile,Smith Rowe,10,2,1909,28,453.3,555.8,576.0,158.4,8,0,1,57,MID
Bukayo,Saka,11,9,2978,39,942.5,774.2,1404.0,311.8,13,0,6,67,MID
Gabriel,Magalhães,5,0,3063,38,129.3,703.0,453.0,128.4,13,1,6,53,DEF
Konstantinos,Mavropanos,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,DEF
Mattéo,Guendouzi,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Gabriel Teodoro,Martinelli Silva,6,7,1855,25,445.8,407.8,692.0,154.7,7,1,1,53,MID
William,Saliba,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,DEF
Ben,White,0,0,2880,35,182.3,592.8,150.0,92.5,13,0,3,46,DEF
Nuno,Varela Tavares,1,1,1169,19,168.4,194.6,203.0,56.7,3,0,2,43,DEF
Albert,Sambi Lokonga,0,0,1129,11,250.7,181.8,87.0,51.9,7,0,5,48,MID
Folarin,Balogun,0,0,69,1,3.7,4.2,17.0,1.9,0,0,0,47,FWD
Reiss,Nelson,0,0,19,1,11.6,4.0,20.0,3.6,0,0,0,50,MID
Karl,Hein,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Martin,Ødegaard,7,4,2782,39,1012.4,625.6,572.0,220.3,11,0,4,56,MID
Aaron,Ramsdale,0,0,3060,39,1.0,680.0,0.0,68.0,12,0,1,51,GK
Arthur,Okonkwo,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39,GK
Takehiro,Tomiyasu,0,1,1680,20,240.9,312.4,110.0,66.4,9,0,2,45,DEF
Charlie,Patino,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Omari,Hutchinson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Salah-Eddine,Oulad M'hand,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Mika,Biereth,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,FWD
Ryan,Alebiosu,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Zach,Awe,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Zak,Swanson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Mazeed,Ogungbo,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Marcelo,Flores,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Miguel,Azeez,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Alex,Kirk,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Calum,Chambers,1,0,999,16,52.8,211.0,61.0,32.5,4,0,1,42,DEF
Jed,Steer,0,0,90,3,0.0,8.2,0.0,0.8,0,0,0,39,GK
