first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Folarin,Balogun,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Cédric,Alves Soares,0,0,59,0,4.3,2.0,0.0,0.6,0,0,0,38
Mohamed,Elneny,0,1,25,0,2.1,4.0,10.0,1.6,0,0,0,44
Fábio,Ferreira Vieira,1,3,290,2,88.8,82.8,85.0,25.5,1,1,0,54
Gabriel,dos Santos Magalhães,3,1,3042,26,121.9,675.8,379.0,117.9,16,0,4,54
Kai,Havertz,13,10,2627,22,613.4,763.2,1027.0,240.2,16,0,11,76
Gabriel,Fernando de Jesus,4,7,1470,11,403.0,364.8,756.0,152.7,11,0,6,77
Jorge Luiz,Frello Filho,0,2,913,11,187.8,165.4,16.0,36.8,4,0,1,53
Jakub,Kiwior,1,3,942,8,106.9,228.8,90.0,42.7,6,0,1,40
Marcus,Oliveira Alencar,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Gabriel,Martinelli Silva,6,5,2010,23,717.1,500.4,795.0,200.8,10,0,1,75
Eddie,Nketiah,5,4,1065,10,136.3,235.0,417.0,77.2,6,0,3,50
Martin,Ødegaard,8,11,3098,23,1499.4,910.4,757.0,317.0,19,0,2,86
Thomas,Partey,0,0,785,5,122.9,117.6,37.0,27.8,5,0,3,48
Nicolas,Pépé,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,49
Aaron,Ramsdale,0,0,540,5,0.0,73.2,0.0,7.3,2,0,0,45
Rúnar Alex,Rúnarsson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Bukayo,Saka,16,12,2922,27,1319.8,1093.8,1342.0,375.7,16,0,4,88
William,Saliba,2,1,3420,29,152.1,697.2,140.0,99.1,18,0,4,59
Emile,Smith Rowe,0,2,343,3,72.2,62.4,128.0,25.6,3,0,0,53
Kieran,Tierney,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Takehiro,Tomiyasu,2,1,1140,10,141.8,247.0,143.0,52.8,6,1,0,45
Leandro,Trossard,12,2,1633,10,384.7,563.6,746.0,169.5,12,0,2,66
Benjamin,White,4,5,2987,26,589.4,765.8,234.0,159.0,18,0,8,61
Granit,Xhaka,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,60
Oleksandr,Zinchenko,1,2,1717,15,474.8,395.4,133.0,100.4,9,0,2,50
David,Raya Martin,0,0,2880,24,0.0,413.0,0.0,41.1,16,0,2,53
Declan,Rice,7,9,3225,28,745.3,959.4,451.0,215.9,17,0,5,55
Reiss,Nelson,0,0,256,1,87.7,42.8,39.0,16.9,1,0,1,48
Jurriën,Timber,0,0,70,0,4.7,5.8,2.0,1.3,0,0,2,46
Karl,Hein,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Charles,Sagoe,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Reuell,Walters,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Bradley,Ibrahim,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Myles,Lewis-Skelly,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Ethan,Nwaneri,0,0,13,0,12.3,2.0,4.0,1.8,0,0,0,45
Mauro,Bandeira,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
James,Sweet,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Alexandre,Moreno Lopera,2,0,1024,20,156.9,217.8,152.0,52.7,3,0,2,49
Leon,Bailey,10,11,2063,32,707.1,663.2,623.0,199.1,5,0,5,54
Emiliano,Buendía Stati,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,57
Matty,Cash,2,2,2138,36,231.8,465.2,378.0,107.1,3,0,8,45
Calum,Chambers,0,1,149,6,12.2,39.0,0.0,5.1,0,0,1,38
Philippe,Coutinho Correia,0,0,24,1,2.8,4.0,12.0,1.8,0,0,0,58
Keinan,Davis,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,49
Leander,Dendoncker,1,1,118,3,3.9,59.2,37.0,10.0,0,0,0,49
Diego Carlos,Santos Silva,0,0,1809,36,59.8,370.4,100.0,53.2,6,0,4,44
Lucas,Digne,1,4,2405,41,601.7,448.4,200.0,125.1,6,0,7,46
Douglas Luiz,Soares de Paulo,9,5,2994,57,867.0,761.8,381.0,201.1,6,0,12,54
Jhon,Durán,5,1,461,12,55.2,190.2,165.0,40.2,0,0,5,50
Kortney,Hause,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
Tim,Iroegbunam,0,0,157,7,4.0,18.6,0.0,2.1,0,0,0,44
Boubacar,Kamara,0,1,1653,22,292.7,256.2,44.0,59.1,7,1,7,50
Ezri,Konsa Ngoyo,1,1,3069,54,170.6,554.4,223.0,95.0,7,0,5,45
Emiliano,Martínez Romero,0,0,3015,48,20.0,802.0,0.0,82.2,8,0,4,52
John,McGinn,6,5,3000,54,690.7,640.4,360.0,169.4,7,1,9,53
Tyrone,Mings,0,0,30,2,13.0,3.6,5.0,2.2,0,0,0,41
Robin,Olsen,0,0,405,13,0.0,194.6,0.0,19.5,0,0,0,39
Jaden,Philogene-Bidace,0,0,3,1,0.3,0.4,2.0,0.3,0,0,0,45
Jacob,Ramsey,1,1,848,12,159.3,124.0,182.0,46.7,0,0,2,59
Morgan,Sanson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Viljami,Sinisalo,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Youri,Tielemans,2,6,1613,27,325.4,369.2,136.0,83.3,4,0,3,56
Bertrand,Traoré,0,0,10,0,0.0,3.0,0.0,0.3,0,0,0,50
Ollie,Watkins,19,18,3222,56,588.5,1024.6,1420.0,302.8,7,0,4,89
Wesley,Moraes Ferreira da Silva,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50
Pau,Torres,2,0,2462,37,150.6,479.4,135.0,76.6,6,0,1,46
Moussa,Diaby,6,11,2168,40,617.8,515.4,675.0,180.6,8,0,1,63
Omari,Kellyman,0,0,35,1,0.5,2.6,2.0,0.5,0,0,0,45
Filip,Marschall,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Nicolò,Zaniolo,2,0,824,13,120.1,146.8,357.0,61.9,2,0,7,54
Oliwier,Zych,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Clément,Lenglet,0,1,1153,27,41.8,250.6,103.0,39.5,2,0,3,45
Sam,Proctor,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Tommi,O'Reilly,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
James,Wright,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Kaine,Kesler-Hayden,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,40
Morgan,Rogers,3,1,636,13,118.4,177.8,150.0,44.5,2,0,3,50
Joe,Gauci,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
Finley,Munroe,0,0,3,0,1.0,0.0,0.0,0.1,0,0,0,40
Kadan,Young,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Lander,Emery,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Jaidon,Anthony,0,0,151,5,4.6,9.0,16.0,3.0,0,0,1,49
Philip,Billing,2,3,1385,36,313.5,304.2,267.0,88.3,2,1,3,51
David,Brooks,1,1,271,7,112.4,88.2,113.0,31.4,0,0,1,47
Ryan,Christie,0,5,2908,56,780.2,620.2,351.0,175.4,8,0,6,50
Lewis,Cook,0,3,2787,51,681.9,520.2,67.0,127.2,8,1,5,48
Siriki,Dembélé,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Ryan,Fredericks,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
James,Hill,0,0,74,1,2.2,32.6,0.0,3.5,0,0,0,40
Lloyd,Kelly,0,1,1553,32,141.8,279.0,48.0,46.9,4,0,2,45
Gavin,Kilkenny,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
Justin,Kluivert,7,1,1910,23,283.2,362.2,619.0,126.4,11,0,5,46
Jamal,Lowe,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,49
Emiliano,Marcondes,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
Chris,Mepham,0,1,613,16,40.0,142.6,27.0,21.0,1,0,2,43
Kieffer,Moore,1,0,100,2,27.9,37.4,81.0,14.1,0,0,0,46
Norberto,Murara Neto,0,0,2880,55,0.0,875.2,0.0,87.5,7,0,5,46
Dango,Ouattara,1,2,1214,24,245.4,298.4,332.0,87.8,5,0,3,47
Ben,Pearson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Darren,Randolph,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
Joe,Rothwell,0,0,380,12,63.9,45.8,5.0,11.6,0,0,0,48
Antoine,Semenyo,8,4,2099,33,411.2,506.8,748.0,166.8,8,0,6,45
Marcos,Senesi,4,5,2239,44,311.2,735.0,147.0,119.7,6,0,13,44
Adam,Smith,0,3,2148,33,296.5,336.4,27.0,66.1,8,0,6,44
Dominic,Solanke,19,3,3325,61,479.6,902.0,1348.0,272.7,10,0,3,69
Marcus,Tavernier,3,4,2118,38,649.4,468.4,460.0,157.8,8,0,3,50
Hamed,Traorè,0,0,44,1,14.8,12.8,30.0,5.7,0,0,0,47
Mark,Travers,0,0,360,5,0.0,92.6,0.0,9.3,2,0,0,40
Illia,Zabarnyi,1,0,3330,67,111.1,686.0,117.0,91.5,8,0,5,44
Milos,Kerkez,0,2,1966,37,216.5,310.0,150.0,67.7,6,1,4,44
Ionuț,Radu,0,0,180,7,0.0,33.0,0.0,3.3,0,0,0,43
Ben,Greenwood,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Max,Aarons,0,1,1233,35,114.0,179.6,27.0,31.8,2,0,1,44
Alex,Scott,1,1,1003,25,294.7,197.0,116.0,60.7,3,0,3,49
Tyler,Adams,0,0,118,3,14.1,24.6,10.0,4.9,0,0,0,49
Luis,Sinisterra,2,2,685,18,251.4,221.4,343.0,81.7,1,0,0,55
Romain,Faivre,0,0,37,1,2.5,5.0,13.0,1.8,0,0,1,50
Max,Kinsey,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Enes,Ünal,2,4,317,9,58.6,142.4,242.0,43.7,1,0,1,50
Dominic,Sadi,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,45
Michael,Dacosta Gonzalez,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Callan,McKenna,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Kristoffer,Ajer,2,1,1826,33,166.6,406.8,223.0,79.7,5,0,5,44
Ellery,Balcombe,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
Shandon,Baptiste,1,1,222,5,54.8,92.4,60.0,20.6,0,0,1,43
Mads,Bech Sørensen,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Mads,Bidstrup,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Sergi,Canós Tenés,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50
Nathan,Collins,1,1,2649,51,151.5,653.8,180.0,98.7,7,0,3,45
Matthew,Cox,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Mikkel,Damsgaard,0,4,829,9,179.1,162.6,103.0,44.7,5,0,2,48
Josh,Dasilva,0,0,22,0,15.4,6.8,14.0,3.6,0,0,0,47
Halil,Dervişoğlu,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Mark,Flekken,0,1,3285,63,40.3,921.2,0.0,96.2,7,0,3,47
Charlie,Goode,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
Rico,Henry,0,1,401,5,67.9,72.8,17.0,15.7,1,0,1,42
Aaron,Hickey,0,0,713,12,28.4,66.6,37.0,12.9,2,0,5,43
Vitaly,Janelt,1,4,3054,52,562.5,503.4,285.0,135.3,9,0,8,52
