first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,element_type
Fábio,Ferreira Vieira,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,54,MID
Gabriel,Fernando de Jesus,3,2,600,5,119.5,154.4,255.0,52.6,2,0,4,65,FWD
Gabriel,dos Santos Magalhães,3,2,2363,22,208.8,584.6,287.0,108.2,10,0,4,61,DEF
Kai,Havertz,9,3,1872,20,269.0,467.6,711.0,144.8,7,0,5,77,FWD
Karl,Hein,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Jurriën,Timber,1,3,2415,21,296.8,393.0,254.0,94.2,11,0,7,55,DEF
Jorge Luiz,Frello Filho,0,0,701,7,88.8,44.8,8.0,14.2,2,0,5,46,MID
Jakub,Kiwior,1,0,1117,15,91.3,267.2,32.0,39.2,3,0,1,49,DEF
Gabriel,Martinelli Silva,8,4,2284,25,587.8,559.8,912.0,206.1,10,0,1,65,MID
Ethan,Nwaneri,4,2,882,4,282.8,293.2,255.0,83.0,4,0,1,43,MID
Martin,Ødegaard,3,9,2321,21,968.7,524.6,493.0,198.8,11,0,4,82,MID
David,Raya Martin,0,0,3420,34,10.7,755.4,0.0,76.7,13,0,3,56,GK
Declan,Rice,4,7,2823,29,959.6,733.0,399.0,208.8,11,1,5,63,MID
Bukayo,Saka,6,11,1724,21,842.8,606.0,830.0,227.9,7,0,3,104,MID
William,Saliba,2,0,3039,29,150.1,672.6,116.0,94.2,12,1,2,64,DEF
Thomas,Partey,4,3,2793,30,377.9,626.6,223.0,123.2,9,0,4,49,MID
Kieran,Tierney,1,0,250,1,109.1,91.8,48.0,25.0,1,0,0,43,DEF
Tomiyasu,Takehiro,0,0,6,0,0.3,0.4,9.0,1.0,0,0,0,48,DEF
Leandro,Trossard,8,8,2546,27,617.6,609.0,798.0,202.1,11,1,2,67,MID
Benjamin,White,0,2,1195,13,162.6,247.6,100.0,51.0,5,0,2,62,DEF
Oleksandr,Zinchenko,0,1,518,1,92.8,83.4,66.0,24.1,4,0,1,48,DEF
Norberto,Murara Neto,0,0,180,2,0.0,77.8,0.0,7.8,0,0,0,41,GK
Raheem,Sterling,0,2,490,4,125.5,67.2,122.0,31.3,1,0,1,67,MID
Riccardo,Calafiori,2,1,978,12,118.2,252.6,176.0,54.6,1,0,4,58,DEF
Myles,Lewis-Skelly,1,0,1362,16,170.7,176.0,57.0,40.0,5,2,3,45,MID
Mikel,Merino,7,2,1575,17,265.8,456.8,511.0,123.3,4,1,2,60,MID
Salah-Eddine,Oulad M'hand,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Tommy,Setford,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,GK
Maldini,Kacurri,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Ismeal,Kabia,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Josh,Nichols,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Nathan,Butler-Oyedeji,0,0,6,0,0.0,3.0,17.0,2.0,0,0,0,45,FWD
Mikel,Arteta,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,15,AM
Jack,Porter,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Jimi,Gower,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Jack,Henry-Francis,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Brayden,Clarke,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Leon,Bailey,1,2,1132,19,235.8,146.4,325.0,70.3,2,0,3,62,MID
Ross,Barkley,3,1,567,10,128.1,215.4,206.0,54.8,1,0,3,52,MID
Enzo,Barrenechea,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,49,MID
Emiliano,Buendía Stati,0,0,89,2,23.2,16.4,16.0,5.2,0,0,1,51,MID
Matty,Cash,1,1,2069,22,181.0,359.2,171.0,71.3,7,0,7,44,DEF
Leander,Dendoncker,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Moussa,Diaby,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,65,MID
Diego Carlos,Santos Silva,0,0,828,15,9.2,150.6,54.0,21.5,2,0,1,45,DEF
Lucas,Digne,0,5,2348,36,583.9,512.6,112.0,120.7,6,0,4,44,DEF
Lewis,Dobbin,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50,MID
Jhon,Durán,7,0,622,14,68.9,273.8,334.0,67.5,2,1,3,57,FWD
Joe,Gauci,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Kortney,Hause,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39,DEF
Samuel,Iling-Junior,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,54,MID
Boubacar,Kamara,1,0,1720,22,191.0,326.6,83.0,60.2,6,0,2,50,MID
Kaine,Kesler-Hayden,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Ezri,Konsa Ngoyo,2,0,2936,45,123.9,532.8,166.0,82.4,8,0,1,45,DEF
Ian,Maatsen,1,2,1125,16,293.4,252.0,197.0,74.3,3,0,2,45,DEF
Filip,Marschall,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Emiliano,Martínez Romero,0,0,3195,47,20.0,839.6,0.0,86.0,8,1,5,50,GK
John,McGinn,1,4,2217,34,500.6,277.2,263.0,103.7,8,0,7,52,MID
Tyrone,Mings,0,1,1119,11,49.2,220.4,74.0,34.6,4,0,1,44,DEF
Kosta,Nedeljković,0,0,121,4,7.2,22.8,0.0,3.0,0,0,0,39,DEF
Robin,Olsen,0,0,225,6,0.0,59.2,0.0,5.9,1,0,0,45,GK
Pau,Torres,0,0,2019,33,84.5,350.6,102.0,54.0,5,0,2,42,DEF
Jacob,Ramsey,1,4,1616,26,307.9,235.4,245.0,78.7,5,1,2,54,MID
Morgan,Rogers,8,11,3115,40,722.7,730.6,689.0,214.2,10,0,10,58,MID
Viljami,Sinisalo,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Lino,da Cruz Sousa,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Youri,Tielemans,3,7,3025,46,963.1,799.6,333.0,209.6,7,0,4,55,MID
Ollie,Watkins,16,8,2593,40,345.2,766.0,1148.0,223.8,10,0,2,92,FWD
Axel,Disasi,1,0,851,12,75.6,169.6,51.0,29.7,3,0,3,42,DEF
Amadou,Onana,3,0,1613,23,194.8,358.0,215.0,77.0,6,0,4,48,MID
Marcus,Rashford,6,4,1414,15,451.1,398.4,369.0,122.1,7,0,2,66,MID
Lamare,Bogarde,0,0,473,11,33.3,84.8,15.0,13.3,0,0,2,39,DEF
Sil,Swinkels,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Oliwier,Zych,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Kadan,Young,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44,MID
Ben,Broggio,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Jamaldeen,Jimoh,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Donyell,Malen,3,0,296,6,42.7,138.2,208.0,38.5,0,0,0,53,MID
Andrés,García,0,0,316,5,68.4,45.6,7.0,12.0,0,0,0,45,DEF
Unai,Emery,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,8,AM
Marco,Asensio,3,2,740,8,232.5,200.6,242.0,67.2,3,0,2,60,MID
Max,Aarons,0,0,84,0,3.2,13.2,0.0,1.7,1,0,0,43,DEF
Tyler,Adams,0,3,1959,30,261.2,411.8,83.0,75.9,6,0,7,49,MID
Jaidon,Anthony,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
David,Brooks,2,1,941,12,316.7,193.6,300.0,80.4,3,0,3,49,MID
Ryan,Christie,2,3,2114,28,576.8,514.0,303.0,139.6,8,0,9,48,MID
